Date,Analytic,Clout,Authentic,Tone
2014-10-01,66.39,86.48,9.25,24.95
2014-11-01,67.96,86.33,10.6,30.48
2014-12-01,71.4,86.14,8.4,27.24
2015-01-01,72.79,85.17,7.62,25.21
2015-02-01,72.38,85.21,6.84,23.81
2015-03-01,70.07,84.12,7.92,24.53
2015-04-01,72.47,84,8.14,24.67
2015-05-01,74.29,83.96,7.19,24.46
